feature,count
GuidanceLine,93
GuidanceLineMarking,91
RunwayCentrelinePoint,38
TaxiHoldingPosition,32
TaxiHoldingPositionMarking,32
VerticalStructure,28
RunwayDirectionLightSystem,27
Airspace,22
RunwayMarking,21
Navaid,14
DesignatedPoint,14
AircraftStand,14
ObstacleArea,12
TaxiwayElement,10
Taxiway,9
VOR,7
RouteSegment,7
RadioCommunicationChannel,7
HoldingPattern,7
RunwayDirection,6
OrganisationAuthority,5
NDB,5
Unit,5
SpecialDate,4
Route,4
ApproachLightingSystem,4
VisualGlideSlopeIndicator,4
MarkerBeacon,3
RadioFrequencyArea,3
AeronauticalGroundLight,3
DistanceIndication,3
Runway,3
DME,2
AngleIndication,2
AirTrafficControlService,2
SearchRescueService,2
AirportHeliport,2
RunwayElement,2
GeoBorder,1
TACAN,1
Localizer,1
Glidepath,1
ChangeOverPoint,1
AuthorityForAirspace,1
InformationService,1
TouchDownLiftOff,1
ApronElement,1
Apron,1
