Feature,Count
aixm:AeronauticalGroundLight,3
aixm:AirTrafficControlService,2
aixm:AircraftStand,14
aixm:AirportHeliport,2
aixm:Airspace,22
aixm:AngleIndication,2
aixm:ApproachLightingSystem,4
aixm:Apron,1
aixm:ApronElement,1
aixm:AuthorityForAirspace,1
aixm:ChangeOverPoint,1
aixm:DME,2
aixm:DesignatedPoint,14
aixm:DistanceIndication,3
aixm:GeoBorder,1
aixm:Glidepath,1
aixm:GuidanceLine,93
aixm:GuidanceLineMarking,91
aixm:HoldingPattern,7
aixm:InformationService,1
aixm:Localizer,1
aixm:MarkerBeacon,3
aixm:NDB,5
aixm:Navaid,14
aixm:ObstacleArea,12
aixm:OrganisationAuthority,5
aixm:RadioCommunicationChannel,7
aixm:RadioFrequencyArea,3
aixm:Route,4
aixm:RouteSegment,7
aixm:Runway,3
aixm:RunwayCentrelinePoint,38
aixm:RunwayDirection,6
aixm:RunwayDirectionLightSystem,27
aixm:RunwayElement,2
aixm:RunwayMarking,21
aixm:SearchRescueService,2
aixm:SpecialDate,4
aixm:TACAN,1
aixm:TaxiHoldingPosition,32
aixm:TaxiHoldingPositionMarking,32
aixm:Taxiway,9
aixm:TaxiwayElement,10
aixm:TouchDownLiftOff,1
aixm:Unit,5
aixm:VOR,7
aixm:VerticalStructure,28
aixm:VisualGlideSlopeIndicator,4
