feature,count
AeronauticalGroundLight,3
AirTrafficControlService,2
AircraftStand,14
AirportHeliport,2
Airspace,22
AngleIndication,2
ApproachLightingSystem,4
Apron,1
ApronElement,1
AuthorityForAirspace,1
ChangeOverPoint,1
DME,2
DesignatedPoint,14
DistanceIndication,3
GeoBorder,1
Glidepath,1
GuidanceLine,93
GuidanceLineMarking,91
HoldingPattern,7
InformationService,1
Localizer,1
MarkerBeacon,3
NDB,5
Navaid,14
ObstacleArea,12
OrganisationAuthority,5
RadioCommunicationChannel,7
RadioFrequencyArea,3
Route,4
RouteSegment,7
Runway,3
RunwayCentrelinePoint,38
RunwayDirection,6
RunwayDirectionLightSystem,27
RunwayElement,2
RunwayMarking,21
SearchRescueService,2
SpecialDate,4
TACAN,1
TaxiHoldingPosition,32
TaxiHoldingPositionMarking,32
Taxiway,9
TaxiwayElement,10
TouchDownLiftOff,1
Unit,5
VOR,7
VerticalStructure,28
VisualGlideSlopeIndicator,4
